Product ID;Categories;Name *;Price tax excluded;Price tax included;Image URLs (x,y,z...);Description;Feature(Name:Value:Position)
IG6199;Mężczyźni, Buty;Buty Gazelle;405.69;499;null;Inspiruj się przeszłością w butach adidas Gazelle. Kultowe, niskoprofilowe sneakery powstały lata temu z myślą o treningu na hali, jednak szybko zdobyły popularność wśród przedstawicieli innych dyscyplin sporu i na ulicach miast. Cholewka z wysokiej jakości zamszu i ponadczasowy design wykraczają poza przemijające trendy. Ciesz się prostym stylem i komfortem gumowej podeszwy zewnętrznej i tekstylnej wyściółki podczas całodziennych przygód w mieście lub weekendowych wędrówek. Buty Gazelle, które miały duży wkład w kształtowanie kultury sneakerowej, przyciągają uwagę bez względu na epokę.;Kolor:Wonder Taupe / Night Indigo / Gum:0
ID4265;Mężczyźni, Buty;Buty NMD_S1 Sock;771.54;949;null;"Buty, które pasują niczym skarpetki? Nam to pasuje! Buty adidas o przełomowym designie, który otula Twoją stopę, mają plecioną cholewkę, która idealnie przylega do stopy, nie ograniczając swobody ruchu. Wstawki w podeszwie środkowej stanowią ukłon w stronę klasycznego stylu NMD, a amortyzacja BOOST w podeszwie środkowej zapewnia komfort przez cały dzień. 

Cholewka uszyta z serii materiałów pochodzących z recyklingu zawiera co najmniej 50% materiałów z odzysku. Ten produkt jest tylko jednym z naszych rozwiązań, które pomogą położyć kres plastikowym odpadom.";Kolor:Core Black / Carbon / Core Black:0
HQ6785;Mężczyźni, Buty;Stan Smith Lux Shoes;486.99;599;null;"„Zawsze myślałem o butach [Stan Smith] jak o płótnie. Projektanci adidas stworzyli wiele różnych wersji różniących się nie tylko kolorami, ale również materiałami. Jednak sylwetka pozostaje taka sama i zawsze możesz ją rozpoznać z daleka” — Stan Smith

Ponadczasowa sylwetka zyskuje nową odsłonę w modelu Stan Smith Lux. Prosty, uniwersalny look, który nawiązuje do oryginału, został wzbogacony o wysokiej jakości detale. Inspirowane tenisem buty zostały w całości (od wewnętrznej wyściółki po dodatkową skórzaną naszywkę w pięcie) wykonane z wyjątkowo miękkiej skóry, która zapewnia większy komfort i trwałość. Foliowany branding na języku stanowi proste, a jednocześnie eleganckie wykończenie.";Kolor:Crystal White / Off White / Core Black:0
B75806;Mężczyźni, Buty;Buty Samba OG;446.34;549;null;Buty Samba, które narodziły się na boisku, stały się ponadczasową ikoną stylu miejskiego. Ta sylwetka pozostaje wierna tradycji za sprawą gustownej, niskoprofilowej cholewki z miękkiej skóry, zamszowych nakładek i gumowej podeszwy, dzięki czemu jest podstawowym elementem garderoby każdego — na boisku i poza nim.;Kolor:Cloud White / Core Black / Clear Granite:0
EE6999;Mężczyźni, Buty;OZWEEGO Shoes;446.34;549;null;Wybierz buty łączące elementy retro z futurystycznymi liniami designu, aby wprowadzić styl z przełomu XX i XXI wieku na nowe terytoria. Wykonane są z siateczki, zamszu i gładkiego TPU. Strategicznie rozmieszczone wsparcie w przedniej części stopy i w pięcie sprawia, że bieg staje się niezwykle komfortowy.;Kolor:Core Black / Core Black / Carbon:0
FY7757;Mężczyźni, Buty;Forum Low Shoes;446.34;549;null;Wybierz buty, które robią wrażenie. Model adidas Forum zadebiutował w 1984 roku i zyskał ogromną popularność zarówno na koszykarskim parkiecie, jak i muzycznej scenie. Ta wersja miejskich, niskich butów nawiązuje do pełnego energii stylu koszykarskiego z lat 80. za sprawą kultowego designu z krzyżującymi się paskami w kostkach.;Kolor:Cloud White / Cloud White / Core Black:0
B75807;Mężczyźni, Buty;Buty Samba OG;446.34;549;null;Buty Samba, które narodziły się na boisku, stały się ponadczasową ikoną stylu miejskiego. Ta sylwetka pozostaje wierna tradycji za sprawą gustownej, niskoprofilowej cholewki z miękkiej skóry, zamszowych nakładek i gumowej podeszwy, dzięki czemu jest podstawowym elementem garderoby każdego — na boisku i poza nim.;Kolor:Core Black / Cloud White / Gum5:0
HQ4670;Mężczyźni, Buty;adilette 22 Slides;243.09;299;null;"Projektując te klapki adidas, sięgnęliśmy do map topograficznych ilustrujących ekspedycje na Marsa i zwymiarowanie nowej planety. Ale futurystyczny styl na tym się nie kończy. Buty są wykonane częściowo z trzciny cukrowej, co stanowi krok w kierunku bardziej zrównoważonej przyszłości. Noś je na zróżnicowanym terenie ― od mokrego po suchy.

Ten produkt został stworzony z naturalnych i pozyskanych z odnawialnych źródeł materiałów w ramach naszej walki z plastikowymi odpadami.";Kolor:Light Brown / Light Brown / Core Black:0
ID3171;Mężczyźni, Buty;Campus 00s Shoes;405.69;499;null;Proporcje się zmieniają, ale unikalny styl zawsze pozostaje na topie. Buty adidas, które prezentują nowe spojrzenie na model Campus 80s, podkreślają śmiałą prostotę w najlepszym wydaniu za sprawą prostej, zamszowej cholewki i klasycznych, kontrastowych 3 pasków. Unowocześnione proporcje inspirowane designem skejtowym z początku XXI wieku nadają autentyczny charakter Twojemu codziennemu stylowi.;Kolor:Core Black / Cloud White / True Pink:0
IE5897;Mężczyźni, Buty;Buty Handball Spezial;405.69;499;null;Idź tam, gdzie tylko zapragniesz w tych sneakerach adidas. Niskoprofilowe buty Handball Spezial, które zadebiutowały w 1979 roku na profesjonalnych boiskach halowych, a od tamtej pory stały się ikoną stylu miejskiego, w odsłonie w ponadczasowym stylu retro. Design stworzony na nowo z myślą o wolnych duchach, które wyznaczają swój własny kierunek. Cholewkę z wysokiej jakości zamszu zdobią 3 paski z zamszu i inne charakterystyczne detale inspirowane archiwalnymi modelami adidas Originals. Klasyczna sylwetka została osadzona na gumowej podeszwie zewnętrznej, która zapewnia trwałość i przyczepność.;Kolor:Core Black / Clear Pink / Gum:0
